,feature,fscore
0,L1_S24_F1827,0.00040416287764
1,L1_S24_F1582,0.00040416287764
2,L3_S32_F3851,0.00242497726584
3,L1_S24_F1510,0.00262705870466
4,L1_S24_F1559,0.00343538445994
5,L3_S30_D3516,0.00596140244519
6,L1_S24_F1525,0.00656764676164
7,L1_S24_F1695,0.00757805395574
8,L1_S24_F1604,0.0091947054663
9,L3_S29_F3407,0.0204102253208
10,L1_S24_F1632,0.0235424876225
11,L1_S24_F1723,0.0274830756795
12,L3_S30_D3496,0.0278872385571
13,L3_S38_F3952,0.0305142972618
14,L3_S32_F3854,0.0408204506416
15,L3_S30_D3511,0.0497120339497
16,L1_S24_F1846,0.0525411740932
17,L3_S32_F3850,0.0526422148126
18,L3_S33_F3855,0.0577952915025
19,L3_S33_F3865,0.0924522582601
20,L3_S30_D3501,0.158937051632
21,L3_S30_D3506,0.326664645852
