feature,fscore,overall
L0_S9_start_date_rank,0.00320469162646,True
L0_S0_F2,0.00320011248554,True
L0_S19_start_date_id_diff,0.00319940627995,True
L3_S37_D3942,0.00315700076517,True
L0_S22_F576,0.00314832670087,True
L3_S30_F3609,0.00314779955733,True
L3_S36_F3920,0.00314366417676,True
L3_S42_start_date_rank,0.00313203858047,True
L0_S12_D331,0.00312798158154,True
L3_S29_F3479,0.00312617460293,True
L0_S15_end_date_id_diff_reverse,0.00311628586492,True
L3_S36_start_date,0.00309407941518,True
L3_S38_D3953,0.00308989614109,True
L3_S29_F3354,0.00307369146676,True
L3_S32_start_date_id_diff,0.00307243146286,True
L1_S24_F1662,0.00304777599115,True
L0_S3_start_date_id_diff,0.00303837297157,True
L1_S24_F1516,0.00303558865845,True
L3_S35_start_date_rank,0.00302421023391,True
L3_S30_F3639,0.00300660733678,True
L0_S4_D106,0.00299646870799,True
L3_S37_end_date_id_diff,0.00299208490701,True
L1_S24_F1604,0.00298402631108,True
L3_S29_F3321,0.00297684295647,True
L3_S30_F3629,0.00297488861164,True
L3_S29_end_date_id_diff,0.00297384207464,True
L3_S41_start_date_id_diff,0.00296829116783,True
L0_S6_start_date_id_diff_reverse,0.00296729400121,True
L0_S10_D241,0.00292397660819,True
L3_S29_F3336,0.00291703944768,True
L0_S11_F318,0.00291541769356,True
L3_S30_F3524,0.00289586471634,True
L3_S29_F3433,0.00288905487733,True
L3_S29_F3330,0.00288478288303,True
L1_S25_F2147,0.00287045196611,True
L2_S27_F3133,0.00286405348641,True
L3_S30_F3494,0.00286316847651,True
L1_S24_D1583,0.00284605284952,True
active_ts_cnt,0.00284328629295,True
L3_S30_F3519,0.00281306171199,True
L2_S26_start_date,0.00279272715972,True
L0_S22_F571,0.00275272440304,True
L0_S9_F180,0.00274638789268,True
L0_S10_end_date,0.00274122807018,True
L3_S33_end_date,0.00274122807018,True
L3_S37_start_date,0.00274122807018,True
L3_S29_F3455,0.0027385652783,True
L3_S29_D3322,0.00272881959579,True
L0_S3_D70,0.00272448937071,True
L3_S38_start_date,0.00271816761803,True
L3_S29_F3430,0.00271713076257,True
L2_S26_start_date_id_diff,0.00270651144951,True
L0_S0_F20,0.00270524161193,True
L3_S30_F3504,0.0027038240313,True
L1_S24_F1571,0.00269287268043,True
L0_S14_F370,0.00268668074821,True
L3_S30_F3819,0.00268151733164,True
L1_S25_F2126,0.0026776956919,True
L0_S11_F322,0.00267515683765,True
L1_S25_D1902,0.00266480424105,True
L0_S4_F109,0.00264681456585,True
L3_S29_F3333,0.00261615297787,True
L0_S8_end_date,0.00261405059953,True
L3_S34_end_date_id_diff,0.00259059016798,True
L1_S25_D1906,0.00257815157365,True
L3_S30_F3764,0.00256669392402,True
L0_S3_F96,0.00256198705324,True
L3_S36_F3938,0.00256110291325,True
L1_S25_F2111,0.00255855238697,True
L0_S10_F219,0.00254331581911,True
L3_S29_D3477,0.00253991503022,True
L2_S27_F3210,0.00253283441236,True
L3_S32_start_date_rank,0.00251466350148,True
L0_S0_start_date_id_diff_reverse,0.00247014892931,True
L3_S35_D3886,0.00245151733915,True
L0_S16_F421,0.00244593044057,True
L1_S24_F1331,0.00244399004267,True
L1_S24_F1803,0.0024430054077,True
L2_S28_end_date_id_diff_reverse,0.00243504368815,True
L0_S0_F4,0.00242590337328,True
L1_S24_F1463,0.00242249966687,True
L3_S30_F3564,0.00241568430116,True
L3_S30_F3799,0.00240644922465,True
L0_S0_F16,0.00240282275346,True
L3_S38_end_date_id_diff_reverse,0.0023879476457,True
