,feature,fscore
0,L1_S24_F1827,0.00196270853778
1,L1_S24_F1510,0.00392541707556
2,L1_S24_F1695,0.00588812561335
3,L3_S32_F3851,0.00686947988224
4,L1_S24_F1559,0.0107948969578
5,L1_S24_F1525,0.0107948969578
6,L1_S24_F1723,0.0117762512267
7,L3_S30_D3511,0.0137389597645
8,L1_S24_F1604,0.0137389597645
9,L1_S24_F1632,0.0147203140334
10,L3_S30_D3516,0.0166830225711
11,L1_S24_F1846,0.0274779195289
12,L3_S30_D3496,0.0353287536801
13,L3_S29_F3407,0.0372914622179
14,L3_S38_F3952,0.0402355250245
15,L3_S32_F3850,0.0402355250245
16,L3_S33_F3855,0.0490677134446
17,L3_S32_F3854,0.0549558390579
18,L3_S33_F3865,0.0785083415113
19,L3_S30_D3501,0.145240431796
20,L3_S30_D3506,0.38076545633
