,feature,fscore
0,L1_S25_F2237,0.00109769484083
1,L0_S10_F244,0.00109769484083
2,L1_S25_F2462,0.00109769484083
3,L1_S25_F2464,0.00109769484083
4,L3_S30_F3529,0.00109769484083
5,L3_S44_F4118,0.00109769484083
6,L0_S11_F306,0.00109769484083
7,L1_S24_F1346,0.00109769484083
8,L1_S25_F3022,0.00109769484083
9,L3_S37_F3950,0.00109769484083
10,L3_S30_F3759,0.00109769484083
11,L3_S35_F3889,0.00109769484083
12,L3_S34_F3880,0.00109769484083
13,L0_S12_F334,0.00109769484083
14,L0_S12_F336,0.00109769484083
15,L0_S12_F330,0.00109769484083
16,L3_S47_F4158,0.00109769484083
17,L3_S47_F4153,0.00109769484083
18,L0_S11_F310,0.00109769484083
19,L1_S24_F1571,0.00109769484083
20,L1_S24_F1520,0.00109769484083
21,L1_S25_F2016,0.00109769484083
22,L3_S29_F3395,0.00109769484083
23,L0_S22_F561,0.00109769484083
24,L0_S0_F10,0.00109769484083
25,L1_S25_F2852,0.00109769484083
26,L3_S29_F3360,0.00109769484083
27,L3_S29_F3404,0.00109769484083
28,L1_S24_F1539,0.00109769484083
29,L3_S29_F3336,0.00109769484083
30,L0_S12_F332,0.00109769484083
31,L1_S25_F2247,0.00109769484083
32,L0_S9_F195,0.00109769484083
33,L3_S29_F3382,0.00109769484083
34,L3_S30_F3664,0.00109769484083
35,L2_S26_F3125,0.00109769484083
36,L3_S29_F3412,0.00109769484083
37,L2_S26_F3121,0.00109769484083
38,L3_S30_F3784,0.00109769484083
39,L0_S15_F406,0.00109769484083
40,L3_S33_F3873,0.00109769484083
41,L3_S30_F3684,0.00109769484083
42,L3_S29_F3455,0.00109769484083
43,L3_S45_F4124,0.00109769484083
44,L2_S26_F3069,0.00109769484083
45,L0_S0_F6,0.00109769484083
46,L0_S0_F8,0.00109769484083
47,L3_S30_F3559,0.00109769484083
48,L3_S39_F3964,0.00109769484083
49,L3_S30_F3569,0.00109769484083
50,L0_S6_F122,0.00109769484083
51,L3_S29_F3449,0.00109769484083
52,L2_S26_F3077,0.00109769484083
53,L0_S15_F403,0.00109769484083
54,L2_S26_F3117,0.00109769484083
55,L0_S0_F22,0.00109769484083
56,L0_S10_F224,0.00109769484083
57,L0_S6_F132,0.00109769484083
58,L1_S25_F2793,0.00109769484083
59,L3_S29_F3433,0.00109769484083
60,L3_S30_F3514,0.00109769484083
61,L0_S22_F591,0.00109769484083
62,L3_S29_F3452,0.00109769484083
63,L2_S26_F3036,0.00109769484083
64,L3_S29_F3458,0.00109769484083
65,L1_S24_F1010,0.00109769484083
66,L2_S26_F3040,0.00109769484083
67,L1_S25_F2818,0.00109769484083
68,L1_S24_F1718,0.00109769484083
69,L3_S30_F3509,0.00109769484083
70,L1_S24_F1565,0.00109769484083
71,L0_S23_F623,0.00109769484083
72,L0_S0_F12,0.00109769484083
73,L0_S11_F326,0.00109769484083
74,L1_S24_F1575,0.00109769484083
75,L1_S24_F1361,0.00109769484083
76,L0_S19_F459,0.00109769484083
77,L1_S24_F1578,0.00109769484083
78,L0_S1_F28,0.00109769484083
79,L3_S30_F3534,0.00109769484083
80,L1_S24_F1838,0.00109769484083
81,L3_S30_F3639,0.00219538968167
82,L1_S24_F1822,0.00219538968167
83,L0_S10_F259,0.00219538968167
84,L2_S26_F3051,0.00219538968167
85,L3_S30_F3819,0.00219538968167
86,L3_S29_F3327,0.00219538968167
87,L1_S24_F1818,0.00219538968167
88,L1_S24_F1581,0.00219538968167
89,L1_S24_F1667,0.00219538968167
90,L3_S29_F3476,0.00219538968167
91,L3_S29_F3473,0.00219538968167
92,L3_S29_F3379,0.00219538968167
93,L0_S0_F14,0.00219538968167
94,L1_S25_F2867,0.00219538968167
95,L3_S30_F3799,0.00219538968167
96,L3_S29_F3407,0.00219538968167
97,L0_S13_F354,0.00219538968167
98,L3_S30_F3709,0.00219538968167
99,L3_S34_F3878,0.00219538968167
100,L3_S29_F3333,0.00219538968167
101,L3_S29_F3339,0.00219538968167
102,L3_S30_F3674,0.00219538968167
103,L3_S30_F3564,0.00219538968167
104,L3_S29_F3424,0.00219538968167
105,L3_S38_F3952,0.00219538968167
106,L3_S30_F3589,0.00219538968167
107,L0_S15_F397,0.00219538968167
108,L1_S24_F1647,0.00219538968167
109,L0_S0_F4,0.00219538968167
110,L1_S24_F1652,0.00219538968167
111,L0_S8_F144,0.00219538968167
112,L3_S29_F3324,0.00219538968167
113,L3_S30_F3624,0.00219538968167
114,L0_S2_F36,0.00219538968167
115,L3_S29_F3357,0.00219538968167
116,L1_S24_F1700,0.0032930845225
117,L3_S30_F3524,0.0032930845225
118,L1_S24_F1516,0.0032930845225
119,L3_S29_F3479,0.0032930845225
120,L0_S14_F370,0.0032930845225
121,L0_S3_F100,0.0032930845225
122,L3_S30_F3544,0.0032930845225
123,L0_S16_F426,0.0032930845225
124,L3_S30_F3574,0.0032930845225
125,L3_S33_F3871,0.0032930845225
126,L3_S29_F3330,0.0032930845225
127,L0_S2_F60,0.0032930845225
128,L0_S12_F348,0.0032930845225
129,L3_S36_F3920,0.0032930845225
130,L1_S25_F2791,0.0032930845225
131,L3_S29_F3430,0.0032930845225
132,L3_S30_F3764,0.0032930845225
133,L0_S0_F20,0.0032930845225
134,L3_S30_F3584,0.0032930845225
135,L0_S22_F586,0.0032930845225
136,L3_S30_F3504,0.0032930845225
137,L3_S29_F3321,0.0032930845225
138,L1_S24_F1713,0.0032930845225
139,L0_S0_F16,0.0032930845225
140,L3_S29_F3464,0.0032930845225
