,feature,fscore
0,L1_S25_F2408,2.16497077289e-05
1,L1_S24_F988,0.000768564624378
2,L1_S25_F1992,0.000801039185971
3,L3_S32_start_date_rank,0.000963411993938
4,L3_S32_start_date_id_diff_reverse,0.00121238363282
5,L2_S28_start_date_id_diff_reverse,0.00148300497943
6,start_date_response_magic_b,0.00151547954103
7,L3_S41_F4016,0.00156960381035
8,L3_S32_F3850,0.00167785234899
9,L1_S25_F1855,0.00167785234899
10,L1_S24_end_date,0.00191599913401
11,L1_S24_F1723,0.00197012340333
12,L3_S32_start_date_id_diff,0.00202424767266
13,end_date_id_diff_magic,0.00202424767266
14,L0_S6_start_date_rank,0.00239229270405
15,L1_S25_F2161,0.00278198744317
16,L1_S24_F1581,0.00282528685863
17,end_date_response_magic,0.00287941112795
18,L1_S25_start_date_id_diff,0.00296600995887
19,L0_S23_F655,0.00304178393592
20,L1_S24_F1803,0.0031392076207
21,L3_S38_F3956,0.00319333189002
22,L1_S24_F1672,0.00321498159775
23,L3_S29_F3407,0.00361550119073
24,active_ts_cnt,0.00375622429097
25,L1_S24_start_date_id_diff_reverse,0.00384282312189
26,L1_S24_F1846,0.00389694739121
27,L0_S18_start_date_id_diff_reverse,0.00390777224507
28,L1_S24_F1632,0.00401602078372
29,L3_S37_start_date,0.00423251786101
30,L2_S27_start_date_id_diff_reverse,0.00452478891535
31,L0_S21_F502,0.00480623511583
32,null_col_count,0.00494695821606
33,L2_S27_start_date,0.00495778306993
34,L0_S19_start_date_id_diff,0.00497943277766
35,L1_S24_start_date,0.00506603160857
36,L3_S32_F3854,0.00518510500108
37,L3_S38_start_date_id_diff_reverse,0.00537995237064
38,L1_S24_F1575,0.0054232517861
39,L2_S26_F3062,0.00561809915566
40,L3_S30_start_date,0.00581294652522
41,L2_S26_start_date,0.00585624594068
42,L2_S27_start_date_id_diff,0.00593201991773
43,L3_S29_start_date,0.00611604243343
44,L0_S22_start_date_id_diff,0.00615934184889
45,L1_S24_F1844,0.00638666378004
46,L3_S33_start_date_rank,0.00649491231868
47,L0_S1_end_date,0.00649491231868
48,L2_S26_F3069,0.00679800822689
49,L0_S4_F109,0.00791296817493
50,L0_S6_start_date_id_diff_reverse,0.00797791729812
51,L2_S26_F3106,0.0080753409829
52,L0_S1_start_date,0.0090495778307
53,L0_S10_F249,0.00909287724616
54,L0_S9_F180,0.00921195063867
55,L3_S30_F3579,0.00957999567006
56,L3_S34_start_date,0.00992639099372
57,L0_S0_F2,0.0100346395324
58,L3_S30_F3704,0.0106841307642
59,L0_S0_F0,0.0107599047413
60,L0_S8_start_date_id_diff_reverse,0.0108032041567
61,L0_S5_F116,0.0108248538645
62,L3_S35_start_date_id_diff_reverse,0.0109222775493
63,L3_S35_start_date,0.0123619831132
64,L3_S33_start_date,0.0126326044598
65,L0_S2_end_date_id_diff_reverse,0.0132820956917
66,L3_S36_start_date_id_diff_reverse,0.0134877679151
67,L3_S30_F3544,0.0140290106084
68,start_date,0.0140398354622
69,L3_S29_F3339,0.0140723100238
70,L3_S29_F3342,0.014375405932
71,L3_S29_F3354,0.014775925525
72,L0_S1_end_date_id_diff_reverse,0.0150465468716
73,L3_S30_F3829,0.0157176878112
74,end_date,0.0162264559428
75,L3_S29_F3351,0.0163455293354
76,L3_S30_start_date_id_diff_reverse,0.0164429530201
77,L3_S30_F3494,0.016930071444
78,L0_S1_F28,0.0169625460056
79,L3_S35_start_date_id_diff,0.0171682182291
80,L3_S37_start_date_id_diff,0.0172764667677
81,start_date_id_diff_reverse,0.0193331890019
82,L3_S30_F3804,0.02044814895
83,L3_S33_start_date_id_diff,0.02092444252
84,L3_S29_F3348,0.0211950638666
85,L3_S30_F3769,0.0212924875514
86,end_date_id_diff,0.0226672439922
87,L3_S34_start_date_id_diff,0.022840441654
88,L3_S30_start_date_id_diff,0.0236739554016
89,time_span,0.0237822039402
90,time_per_TS,0.0239445767482
91,L3_S30_F3759,0.0240636501407
92,L3_S30_F3754,0.0244749945876
93,end_date_id_diff_reverse,0.0245074691492
94,L3_S30_F3744,0.0269105867071
95,start_date_id_diff,0.028036371509
96,start_date_diff,0.028036371509
97,Id,0.0375730677636
