,feature,fscore
0,L2_S27_start_date_id_diff,0.00369003690037
1,end_date_id_diff_magic,0.00369003690037
2,L3_S32_F3854,0.00369003690037
3,L1_S24_start_date_id_diff_reverse,0.00369003690037
4,L3_S29_F3407,0.00369003690037
5,L1_S24_F1581,0.00369003690037
6,L3_S30_start_date,0.00369003690037
7,L3_S30_start_date_id_diff,0.00738007380074
8,end_date_response_magic,0.00738007380074
9,end_date_id_diff,0.00738007380074
10,L3_S29_start_date,0.00738007380074
11,L3_S36_start_date_id_diff_reverse,0.0110701107011
12,L2_S26_F3106,0.0147601476015
13,L0_S8_start_date_id_diff_reverse,0.0147601476015
14,L3_S35_start_date_id_diff,0.0147601476015
15,null_col_count,0.0221402214022
16,L3_S34_start_date,0.0221402214022
17,L3_S38_start_date_id_diff_reverse,0.0221402214022
18,L3_S33_start_date,0.0258302583026
19,start_date_id_diff,0.0258302583026
20,start_date,0.029520295203
21,L3_S34_start_date_id_diff,0.0332103321033
22,L3_S30_F3754,0.0332103321033
23,time_per_TS,0.0332103321033
24,L3_S33_start_date_id_diff,0.0369003690037
25,L0_S1_F28,0.0369003690037
26,time_span,0.0369003690037
27,L0_S1_start_date,0.0405904059041
28,start_date_diff,0.0442804428044
29,Id,0.0479704797048
30,L3_S30_F3804,0.0516605166052
31,end_date_id_diff_reverse,0.0516605166052
32,L3_S29_F3351,0.0664206642066
33,active_ts_cnt,0.0811808118081
34,start_date_id_diff_reverse,0.147601476015
