,feature,fscore
0,L1_S25_F2408,0.00042640892616
1,L3_S32_start_date_id_diff_reverse,0.00072083413708
2,L1_S24_F988,0.000761444511
3,L1_S25_F1992,0.0008629704458
4,L2_S28_start_date_id_diff_reverse,0.00114724306324
5,end_date_id_diff_magic,0.0011675482502
6,L3_S32_start_date_rank,0.00119800603064
7,L3_S32_F3850,0.00120815862412
8,start_date_response_magic_b,0.001269074185
9,L1_S25_F1855,0.00127922677848
10,L1_S24_F1723,0.00146197346112
11,L3_S32_start_date_id_diff,0.00160410976984
12,L1_S24_F1803,0.00175639867204
13,L3_S41_F4016,0.00179700904596
14,L1_S24_end_date,0.00183761941988
15,L1_S24_F1581,0.00219296019168
16,L1_S24_F1672,0.00220311278516
17,L3_S29_F3407,0.00240616465476
18,L1_S25_F2161,0.0024366224352
19,L3_S38_F3956,0.00250769058956
20,end_date_response_magic,0.00261936911784
21,L1_S24_F1846,0.00261936911784
22,L1_S24_F1632,0.00265997949176
23,L0_S6_start_date_rank,0.0027412002396
24,active_ts_cnt,0.00301532026356
25,L1_S24_start_date,0.00312699879184
26,L1_S24_start_date_id_diff_reverse,0.0032488299136
27,L3_S32_F3854,0.00328944028752
28,L0_S18_start_date_id_diff_reverse,0.00342142400276
29,L3_S37_start_date,0.00344172918972
30,L1_S25_start_date_id_diff,0.0034518817832
31,L0_S21_F502,0.00366508624628
32,L0_S23_F655,0.00366508624628
33,L2_S27_start_date_id_diff_reverse,0.00368539143324
34,L3_S29_start_date,0.00443668335076
35,L1_S24_F1575,0.004568667066
36,L2_S26_F3062,0.0046194300334
37,L0_S22_start_date_id_diff,0.00474126115516
38,L3_S30_start_date,0.00479202412256
39,null_col_count,0.00494431302476
40,L3_S38_start_date_id_diff_reverse,0.0050255337726
41,L2_S27_start_date,0.00503568636608
42,L2_S27_start_date_id_diff,0.00508644933348
43,L2_S26_start_date,0.00530980639004
44,L1_S24_F1844,0.00552301085312
45,L0_S1_end_date,0.00641643907936
46,L2_S26_F3069,0.00646720204676
47,L2_S26_F3106,0.00655857538808
48,L0_S19_start_date_id_diff,0.00658903316852
49,L3_S33_start_date_rank,0.00666010132288
50,L0_S6_start_date_id_diff_reverse,0.00687330578596
51,L0_S1_start_date,0.0077159710448
52,L0_S10_F249,0.00874138298628
53,L0_S9_F180,0.00875153557976
54,L3_S34_start_date,0.00889367188848
55,L0_S4_F109,0.009137334132
56,L0_S8_start_date_id_diff_reverse,0.00973633714732
57,L3_S35_start_date_id_diff_reverse,0.00975664233428
58,L3_S30_F3579,0.00986832086256
59,L3_S30_F3704,0.0106500705605
60,L0_S2_end_date_id_diff_reverse,0.010893732804
61,L3_S33_start_date,0.0112490735758
62,L3_S36_start_date_id_diff_reverse,0.0112592261693
63,L0_S5_F116,0.011401362478
64,L0_S0_F2,0.012416621826
65,L0_S0_F0,0.0127313522239
66,L3_S35_start_date,0.0129750144674
67,L0_S1_end_date_id_diff_reverse,0.0130156248414
68,start_date,0.0130562352153
69,L3_S29_F3342,0.0136044752632
70,L3_S30_F3544,0.0136247804502
71,end_date,0.0140714945633
72,L3_S29_F3339,0.0144572931155
73,L3_S30_start_date_id_diff_reverse,0.0153507213418
74,L3_S29_F3354,0.015756825081
75,start_date_id_diff_reverse,0.0158786562027
76,L3_S29_F3351,0.0166197955268
77,L3_S30_F3829,0.0174523081921
78,L0_S1_F28,0.0182137527031
79,L3_S37_start_date_id_diff,0.0183660416053
80,L3_S35_start_date_id_diff,0.019269622425
81,L3_S30_F3494,0.0201325928708
82,L3_S30_F3769,0.0208737321949
83,L3_S30_F3804,0.0222950952821
84,L3_S34_start_date_id_diff,0.0237570687432
85,L3_S29_F3348,0.024132714702
86,L3_S30_start_date_id_diff,0.0241834776694
87,time_per_TS,0.0243256139781
88,L3_S33_start_date_id_diff,0.0246504969695
89,end_date_id_diff,0.0249347695869
90,end_date_id_diff_reverse,0.0251073636761
91,time_span,0.0260007919023
92,L3_S30_F3744,0.027432307583
93,L3_S30_F3759,0.0278181061352
94,L3_S30_F3754,0.028193752094
95,start_date_id_diff,0.029442521092
96,start_date_diff,0.0335441688579
97,Id,0.0397169456938
