,feature,fscore
0,L1_S24_F988,0.000240370170062
1,L0_S6_start_date_rank,0.00144222102037
2,L1_S25_start_date_id_diff,0.00144222102037
3,L0_S21_F502,0.00174268373295
4,L1_S25_F1855,0.00186286881798
5,L1_S25_F2161,0.0019229613605
6,L3_S41_F4016,0.0019229613605
7,L1_S24_F1723,0.00228351661559
8,L1_S24_start_date_id_diff_reverse,0.00306471966829
9,L2_S28_start_date_id_diff_reverse,0.00318490475332
10,L1_S24_end_date,0.00330508983835
11,L1_S25_F2408,0.00336518238087
12,L0_S18_start_date_id_diff_reverse,0.00336518238087
13,L1_S24_F1803,0.00366564509344
14,L2_S26_F3062,0.00366564509344
15,L0_S22_start_date_id_diff,0.00372573763596
16,L1_S25_F1992,0.00378583017847
17,L0_S23_F655,0.00384592272099
18,L1_S24_F1575,0.00384592272099
19,L2_S27_start_date,0.00396610780602
20,L1_S24_F1846,0.0042665705186
21,L2_S26_start_date,0.0042665705186
22,L0_S6_start_date_id_diff_reverse,0.00438675560363
23,L3_S29_F3407,0.00450694068866
24,L3_S32_start_date_rank,0.00486749594375
25,L1_S24_F1632,0.0050477735713
26,start_date_response_magic_b,0.0050477735713
27,L3_S35_start_date_id_diff_reverse,0.00510786611382
28,L1_S24_F1581,0.00540832882639
29,L2_S27_start_date_id_diff_reverse,0.00540832882639
30,L2_S26_F3069,0.00552851391142
31,L3_S30_F3579,0.00576888408149
32,L3_S32_start_date_id_diff_reverse,0.005828976624
33,end_date_id_diff_magic,0.00588906916652
34,L2_S27_start_date_id_diff,0.00588906916652
35,L3_S38_F3956,0.00594916170903
36,end_date_response_magic,0.00648999459167
37,L1_S24_start_date,0.0066101796767
38,L1_S24_F1672,0.00667027221922
39,L0_S4_F109,0.00673036476173
40,null_col_count,0.00673036476173
41,L0_S19_start_date_id_diff,0.00673036476173
42,L0_S5_F116,0.00709092001683
43,L3_S32_F3850,0.00721110510186
44,L3_S37_start_date,0.00751156781443
45,L0_S10_F249,0.00757166035695
46,L3_S38_start_date_id_diff_reverse,0.00799230815456
47,L3_S32_start_date_id_diff,0.00805240069707
48,L3_S35_start_date,0.00805240069707
49,L0_S9_F180,0.00805240069707
50,active_ts_cnt,0.00841295595217
51,L3_S33_start_date_rank,0.00883360374977
52,L0_S0_F0,0.00907397391984
53,L0_S8_start_date_id_diff_reverse,0.00919415900487
54,L0_S2_end_date_id_diff_reverse,0.00919415900487
55,L3_S29_start_date,0.00943452917493
56,L1_S24_F1844,0.00967489934499
57,L3_S29_F3342,0.0102157322276
58,L0_S0_F2,0.0105161949402
59,L3_S35_start_date_id_diff,0.0106363800252
60,L3_S29_F3354,0.0106363800252
61,L0_S1_F28,0.0110570278228
62,L0_S1_end_date,0.0112373054504
63,L2_S26_F3106,0.0113574905354
64,L3_S30_F3804,0.0118382308755
65,L3_S30_F3544,0.0120786010456
66,L3_S30_F3704,0.0120786010456
67,L3_S29_F3339,0.0120786010456
68,L3_S30_F3494,0.0123790637582
69,L3_S37_start_date_id_diff,0.0127997115558
70,L3_S30_F3829,0.0140015624061
71,L3_S30_start_date,0.0143621176612
72,L3_S29_F3348,0.0150231356289
73,L3_S34_start_date,0.0150231356289
74,L0_S1_start_date,0.0152034132564
75,L3_S36_start_date_id_diff_reverse,0.015503875969
76,L3_S34_start_date_id_diff,0.0161048013941
77,L3_S30_F3769,0.0164653566492
78,L3_S29_F3351,0.0176672074995
79,L0_S1_end_date_id_diff_reverse,0.0177273000421
80,L3_S30_start_date_id_diff_reverse,0.0177273000421
81,L3_S33_start_date_id_diff,0.0178474851271
82,start_date_diff,0.0182681329247
83,end_date_id_diff,0.0191094285199
84,L3_S30_start_date_id_diff,0.0191695210624
85,L3_S30_F3759,0.0192897061475
86,time_per_TS,0.01959016886
87,L3_S33_start_date,0.0201910942852
88,L3_S32_F3854,0.0203713719127
89,start_date_id_diff,0.0211525749654
90,time_span,0.021453037678
91,end_date_id_diff_reverse,0.0215732227631
92,start_date,0.0219337780181
93,L3_S30_F3754,0.0227149810708
94,L3_S30_F3744,0.0235562766661
95,Id,0.0238567393786
96,end_date,0.0245778498888
97,start_date_id_diff_reverse,0.0374977465297
